Customer ID,Recency,Frequency,Monetary,LastPurchaseDate,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12346.0,325,12,77556.46,2011-01-18 10:01:00,2,5,5,255,12,At Risk
12347.0,1,8,4921.53,2011-12-07 15:52:00,5,4,5,545,14,Champions
12348.0,74,5,2019.3999999999999,2011-09-25 13:13:00,3,4,4,344,11,Loyal Customers
12349.0,18,4,4428.6900000000005,2011-11-21 09:51:00,5,3,5,535,13,Big Spenders
12350.0,309,1,334.40000000000003,2011-02-02 16:01:00,2,1,2,212,5,Hibernating
12351.0,374,1,300.93,2010-11-29 15:23:00,2,1,2,212,5,Hibernating
12352.0,35,10,2849.84,2011-11-03 14:37:00,4,5,4,454,13,Champions
12353.0,203,2,406.76,2011-05-19 17:47:00,2,2,2,222,6,Hibernating
12354.0,231,1,1079.4,2011-04-21 13:11:00,2,1,3,213,6,Hibernating
12355.0,213,2,947.61,2011-05-09 13:49:00,2,2,3,223,7,Hibernating
12356.0,22,6,6371.7300000000005,2011-11-17 08:40:00,4,4,5,445,13,Champions
12357.0,32,3,18287.66,2011-11-06 16:07:00,4,3,5,435,12,Big Spenders
12358.0,1,5,3887.07,2011-12-08 10:26:00,5,4,5,545,14,Champions
12359.0,57,10,8873.39,2011-10-13 12:47:00,4,5,5,455,14,Champions
12360.0,51,8,4252.89,2011-10-18 15:22:00,4,4,5,445,13,Champions
12361.0,286,4,511.25,2011-02-25 13:51:00,2,3,2,232,7,Others
12362.0,2,11,5356.2300000000005,2011-12-06 15:40:00,5,5,5,555,15,Champions
12363.0,109,2,552.0,2011-08-22 10:18:00,3,2,2,322,7,Others
12364.0,7,4,1313.1,2011-12-02 10:22:00,5,3,4,534,12,Big Spenders
12365.0,290,2,641.38,2011-02-21 14:04:00,2,2,3,223,7,Hibernating
12366.0,633,1,500.24,2010-03-16 10:28:00,1,1,2,112,4,Hibernating
12367.0,3,1,168.9,2011-12-05 16:48:00,5,1,1,511,7,New Customers
12368.0,627,1,917.7,2010-03-21 15:56:00,1,1,3,113,5,Hibernating
12369.0,412,3,1791.15,2010-10-22 13:13:00,1,3,4,134,8,At Risk
12370.0,50,7,4316.56,2011-10-19 14:51:00,4,4,5,445,13,Champions
12371.0,44,5,4067.38,2011-10-26 10:16:00,4,4,5,445,13,Champions
12372.0,71,3,1298.04,2011-09-29 12:12:00,3,3,4,334,10,Big Spenders
12373.0,310,3,1127.65,2011-02-01 13:10:00,2,3,3,233,8,At Risk
12374.0,24,4,2989.2200000000003,2011-11-14 15:37:00,4,3,5,435,12,Big Spenders
12375.0,10,2,457.5,2011-11-29 10:36:00,5,2,2,522,9,New Customers
12376.0,389,2,503.15,2010-11-15 12:15:00,2,2,2,222,6,Hibernating
12377.0,314,4,3426.32,2011-01-28 15:45:00,2,3,5,235,10,At Risk
12378.0,129,2,5416.32,2011-08-02 10:34:00,3,2,5,325,10,Big Spenders
12379.0,81,4,1620.22,2011-09-19 10:09:00,3,3,4,334,10,Big Spenders
12380.0,21,11,9676.300000000001,2011-11-18 11:27:00,4,5,5,455,14,Champions
12381.0,4,5,1845.31,2011-12-05 12:44:00,5,4,4,544,13,Champions
12383.0,184,5,1850.56,2011-06-08 08:02:00,3,4,4,344,11,Loyal Customers
12384.0,28,2,585.27,2011-11-11 08:39:00,4,2,2,422,8,New Customers
12385.0,378,1,1938.4,2010-11-25 15:14:00,2,1,4,214,7,Hibernating
12386.0,337,2,401.9,2011-01-06 12:37:00,2,2,2,222,6,Hibernating
12387.0,414,1,143.94,2010-10-20 16:27:00,1,1,1,111,3,Hibernating
12388.0,15,8,3901.11,2011-11-24 12:30:00,5,4,5,545,14,Champions
12389.0,402,3,1433.33,2010-11-02 11:52:00,2,3,4,234,9,At Risk
12390.0,79,1,549.84,2011-09-21 09:33:00,3,1,2,312,6,Others
12391.0,21,6,2724.84,2011-11-18 12:07:00,4,4,4,444,12,Champions
12392.0,590,1,234.75000000000003,2010-04-27 14:04:00,1,1,1,111,3,Hibernating
12393.0,71,6,2399.45,2011-09-28 15:41:00,3,4,4,344,11,Loyal Customers
12394.0,63,2,1272.48,2011-10-07 08:08:00,3,2,4,324,9,Big Spenders
12395.0,18,15,4721.17,2011-11-20 15:21:00,5,5,5,555,15,Champions
12396.0,673,1,931.4300000000001,2010-02-03 13:22:00,1,1,3,113,5,Hibernating
12397.0,35,2,2409.9,2011-11-04 09:52:00,4,2,4,424,10,Big Spenders
12398.0,45,1,1635.6599999999999,2011-10-25 10:27:00,4,1,4,414,9,Big Spenders
12399.0,118,7,1962.3,2011-08-12 13:15:00,3,4,4,344,11,Loyal Customers
12400.0,413,1,205.25,2010-10-21 13:45:00,1,1,1,111,3,Hibernating
12401.0,302,1,84.3,2011-02-09 13:50:00,2,1,1,211,4,Hibernating
12402.0,322,6,1256.9,2011-01-20 13:49:00,2,4,4,244,10,At Risk
12403.0,49,2,1019.36,2011-10-21 10:51:00,4,2,3,423,9,New Customers
12404.0,681,1,63.24,2010-01-26 16:25:00,1,1,1,111,3,Hibernating
12405.0,148,1,1710.39,2011-07-14 08:52:00,3,1,4,314,8,Big Spenders
12406.0,21,5,6390.36,2011-11-17 19:22:00,4,4,5,445,13,Champions
12407.0,49,5,1708.12,2011-10-21 10:11:00,4,4,4,444,12,Champions
12408.0,32,8,4340.77,2011-11-07 12:27:00,4,4,5,445,13,Champions
12409.0,78,7,23419.29,2011-09-22 10:38:00,3,4,5,345,12,Loyal Customers
12410.0,308,3,1013.71,2011-02-04 10:39:00,2,3,3,233,8,At Risk
12411.0,409,1,346.9,2010-10-26 09:25:00,2,1,2,212,5,Hibernating
12412.0,74,6,2596.93,2011-09-26 10:16:00,3,4,4,344,11,Loyal Customers
12413.0,66,4,999.45,2011-10-04 09:00:00,3,3,3,333,9,Potential Loyalists
12414.0,216,6,952.4100000000001,2011-05-06 14:51:00,2,4,3,243,9,At Risk
12415.0,23,28,144458.37,2011-11-15 14:22:00,4,5,5,455,14,Champions
12416.0,656,1,202.56,2010-02-21 10:19:00,1,1,1,111,3,Hibernating
12417.0,2,20,6797.41,2011-12-06 14:52:00,5,5,5,555,15,Champions
12418.0,112,4,2021.2,2011-08-19 11:08:00,3,3,4,334,10,Big Spenders
12419.0,385,2,503.01,2010-11-19 10:04:00,2,2,2,222,6,Hibernating
12420.0,63,1,600.39,2011-10-07 08:55:00,3,1,2,312,6,Others
12421.0,15,6,1098.6,2011-11-24 09:07:00,5,4,3,543,12,Loyal Customers
12422.0,95,17,5231.8,2011-09-05 09:48:00,3,5,5,355,13,Loyal Customers
12423.0,0,10,2622.39,2011-12-09 10:10:00,5,5,4,554,14,Champions
12424.0,162,4,3340.0299999999997,2011-06-30 12:06:00,3,3,5,335,11,Big Spenders
12425.0,77,2,1741.41,2011-09-22 17:31:00,3,2,4,324,9,Big Spenders
12426.0,194,2,1345.21,2011-05-29 12:26:00,2,2,4,224,8,Hibernating
12427.0,21,3,825.8000000000001,2011-11-18 08:56:00,4,3,3,433,10,Potential Loyalists
12428.0,25,9,7956.46,2011-11-14 08:22:00,4,5,5,455,14,Champions
12429.0,8,8,6204.41,2011-11-30 17:22:00,5,4,5,545,14,Champions
12430.0,42,1,256.4,2011-10-27 15:09:00,4,1,1,411,6,New Customers
12431.0,35,27,10432.220000000001,2011-11-04 11:55:00,4,5,5,455,14,Champions
12432.0,42,5,5059.32,2011-10-28 11:43:00,4,4,5,445,13,Champions
12433.0,0,10,16794.14,2011-12-09 10:02:00,5,5,5,555,15,Champions
12434.0,84,3,1103.43,2011-09-16 12:38:00,3,3,3,333,9,Potential Loyalists
12435.0,79,6,13925.93,2011-09-21 09:06:00,3,4,5,345,12,Loyal Customers
12436.0,99,1,509.01,2011-09-01 12:09:00,3,1,2,312,6,Others
12437.0,1,39,12683.4,2011-12-08 11:35:00,5,5,5,555,15,Champions
12438.0,13,2,2906.85,2011-11-25 13:28:00,5,2,4,524,11,Big Spenders
12439.0,682,2,1142.88,2010-01-26 12:11:00,1,2,3,123,6,Hibernating
12440.0,461,2,859.2,2010-09-03 13:11:00,1,2,3,123,6,Hibernating
12441.0,366,1,173.55,2010-12-08 10:45:00,2,1,1,211,4,Hibernating
12442.0,2,1,172.06,2011-12-06 14:22:00,5,1,1,511,7,New Customers
12443.0,731,1,485.31,2009-12-07 15:42:00,1,1,2,112,4,Hibernating
12444.0,20,5,5005.46,2011-11-18 13:23:00,4,4,5,445,13,Champions
12445.0,21,2,434.98,2011-11-17 18:43:00,4,2,2,422,8,New Customers
12446.0,57,1,1002.3100000000001,2011-10-13 12:50:00,4,1,3,413,8,New Customers
12447.0,242,1,476.49,2011-04-10 13:25:00,2,1,2,212,5,Hibernating
12448.0,43,1,449.45,2011-10-26 13:46:00,4,1,2,412,7,New Customers
12449.0,21,6,4835.89,2011-11-17 13:46:00,4,4,5,445,13,Champions
12450.0,155,5,688.2,2011-07-06 14:41:00,3,4,3,343,10,Loyal Customers
12451.0,10,8,12669.88,2011-11-29 08:40:00,5,4,5,545,14,Champions
12452.0,16,2,430.57000000000005,2011-11-23 10:28:00,5,2,2,522,9,New Customers
12453.0,133,1,707.09,2011-07-28 14:08:00,3,1,3,313,7,Others
12454.0,55,5,16679.78,2011-10-14 17:13:00,4,4,5,445,13,Champions
12455.0,72,10,5879.95,2011-09-27 15:31:00,3,5,5,355,13,Loyal Customers
12456.0,43,3,3181.04,2011-10-26 14:41:00,4,3,5,435,12,Big Spenders
12457.0,65,8,2995.91,2011-10-04 13:13:00,3,4,5,345,12,Loyal Customers
12458.0,70,4,1777.49,2011-09-29 15:25:00,3,3,4,334,10,Big Spenders
12459.0,604,1,454.36,2010-04-13 14:53:00,1,1,2,112,4,Hibernating
12460.0,455,1,326.65,2010-09-09 13:51:00,1,1,2,112,4,Hibernating
12461.0,93,2,826.88,2011-09-06 16:57:00,3,2,3,323,8,Others
12462.0,18,2,1189.59,2011-11-21 09:11:00,5,2,3,523,10,New Customers
12463.0,52,4,1344.78,2011-10-17 13:44:00,4,3,4,434,11,Big Spenders
12464.0,9,8,1212.05,2011-11-29 13:33:00,5,4,3,543,12,Loyal Customers
12465.0,16,2,742.19,2011-11-22 16:34:00,5,2,3,523,10,New Customers
12466.0,681,1,56.73,2010-01-26 16:26:00,1,1,1,111,3,Hibernating
12467.0,422,1,132.8,2010-10-12 15:41:00,1,1,1,111,3,Hibernating
12468.0,187,5,3670.7400000000002,2011-06-05 11:36:00,3,4,5,345,12,Loyal Customers
12469.0,522,2,3070.54,2010-07-05 12:40:00,1,2,5,125,8,Hibernating
12470.0,689,1,211.95,2010-01-19 11:01:00,1,1,1,111,3,Hibernating
12471.0,1,79,39918.19,2011-12-07 15:43:00,5,5,5,555,15,Champions
12472.0,31,19,16249.29,2011-11-07 14:01:00,4,5,5,455,14,Champions
12473.0,28,5,3928.05,2011-11-10 13:46:00,4,4,5,445,13,Champions
12474.0,16,31,12372.75,2011-11-22 14:39:00,5,5,5,555,15,Champions
12475.0,53,2,1149.64,2011-10-17 10:10:00,4,2,3,423,9,New Customers
12476.0,15,23,14083.91,2011-11-24 12:40:00,5,5,5,555,15,Champions
12477.0,22,9,20276.37,2011-11-17 09:51:00,4,5,5,455,14,Champions
12478.0,3,1,680.99,2011-12-06 09:56:00,5,1,3,513,9,New Customers
12479.0,10,1,527.2,2011-11-28 13:26:00,5,1,2,512,8,New Customers
12480.0,27,7,5464.85,2011-11-11 14:52:00,4,4,5,445,13,Champions
12481.0,22,15,12185.51,2011-11-17 08:29:00,4,5,5,455,14,Champions
12482.0,575,29,23691.4,2010-05-12 16:51:00,1,5,5,155,11,At Risk
12483.0,16,19,5097.18,2011-11-22 17:02:00,5,5,5,555,15,Champions
12484.0,32,12,6354.1,2011-11-07 11:37:00,4,5,5,455,14,Champions
12485.0,528,1,708.1,2010-06-28 15:22:00,1,1,3,113,5,Hibernating
12486.0,431,1,1037.28,2010-10-04 12:14:00,1,1,3,113,5,Hibernating
12487.0,730,1,285.3,2009-12-09 11:36:00,1,1,1,111,3,Hibernating
